Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GT","Emissions totals","410","Republic of Korea","723113","Emissions (CO2eq) (AR5)","6518","Agrifood systems","1990","1990","3050","FAO TIER 1","kt","54591.7816","E","Estimated value",""
"GT","Emissions totals","410","Republic of Korea","723113","Emissions (CO2eq) (AR5)","6518","Agrifood systems","1991","1991","3050","FAO TIER 1","kt","57811.7992","E","Estimated value",""
"GT","Emissions totals","410","Republic of Korea","723113","Emissions (CO2eq) (AR5)","6518","Agrifood systems","1992","1992","3050","FAO TIER 1","kt","62483.3113","E","Estimated value",""
"GT","Emissions totals","410","Republic of Korea","723113","Emissions (CO2eq) (AR5)","6518","Agrifood systems","1993","1993","3050","FAO TIER 1","kt","65519.8027","E","Estimated value",""
"GT","Emissions totals","410","Republic of Korea","723113","Emissions (CO2eq) (AR5)","6518","Agrifood systems","1994","1994","3050","FAO TIER 1","kt","70378.6005","E","Estimated value",""
"GT","Emissions totals","410","Republic of Korea","723113","Emissions (CO2eq) (AR5)","6518","Agrifood systems","1995","1995","3050","FAO TIER 1","kt","74515.693","E","Estimated value",""
"GT","Emissions totals","410","Republic of Korea","723113","Emissions (CO2eq) (AR5)","6518","Agrifood systems","1996","1996","3050","FAO TIER 1","kt","78888.8112","E","Estimated value",""
"GT","Emissions totals","410","Republic of Korea","723113","Emissions (CO2eq) (AR5)","6518","Agrifood systems","1997","1997","3050","FAO TIER 1","kt","82991.7694","E","Estimated value",""
"GT","Emissions totals","410","Republic of Korea","723113","Emissions (CO2eq) (AR5)","6518","Agrifood systems","1998","1998","3050","FAO TIER 1","kt","72490.1915","E","Estimated value",""
"GT","Emissions totals","410","Republic of Korea","723113","Emissions (CO2eq) (AR5)","6518","Agrifood systems","1999","1999","3050","FAO TIER 1","kt","76545.7035","E","Estimated value",""
"GT","Emissions totals","410","Republic of Korea","723113","Emissions (CO2eq) (AR5)","6518","Agrifood systems","2000","2000","3050","FAO TIER 1","kt","80458.4479","E","Estimated value",""
"GT","Emissions totals","410","Republic of Korea","723113","Emissions (CO2eq) (AR5)","6518","Agrifood systems","2001","2001","3050","FAO TIER 1","kt","84136.6458","E","Estimated value",""
"GT","Emissions totals","410","Republic of Korea","723113","Emissions (CO2eq) (AR5)","6518","Agrifood systems","2002","2002","3050","FAO TIER 1","kt","84936.3223","E","Estimated value",""
"GT","Emissions totals","410","Republic of Korea","723113","Emissions (CO2eq) (AR5)","6518","Agrifood systems","2003","2003","3050","FAO TIER 1","kt","84641.7634","E","Estimated value",""
"GT","Emissions totals","410","Republic of Korea","723113","Emissions (CO2eq) (AR5)","6518","Agrifood systems","2004","2004","3050","FAO TIER 1","kt","83386.97","E","Estimated value",""
"GT","Emissions totals","410","Republic of Korea","723113","Emissions (CO2eq) (AR5)","6518","Agrifood systems","2005","2005","3050","FAO TIER 1","kt","83660.3253","E","Estimated value",""
"GT","Emissions totals","410","Republic of Korea","723113","Emissions (CO2eq) (AR5)","6518","Agrifood systems","2006","2006","3050","FAO TIER 1","kt","82981.5032","E","Estimated value",""
"GT","Emissions totals","410","Republic of Korea","723113","Emissions (CO2eq) (AR5)","6518","Agrifood systems","2007","2007","3050","FAO TIER 1","kt","85067.2035","E","Estimated value",""
"GT","Emissions totals","410","Republic of Korea","723113","Emissions (CO2eq) (AR5)","6518","Agrifood systems","2008","2008","3050","FAO TIER 1","kt","87623.7934","E","Estimated value",""
"GT","Emissions totals","410","Republic of Korea","723113","Emissions (CO2eq) (AR5)","6518","Agrifood systems","2009","2009","3050","FAO TIER 1","kt","89513.983","E","Estimated value",""
"GT","Emissions totals","410","Republic of Korea","723113","Emissions (CO2eq) (AR5)","6518","Agrifood systems","2010","2010","3050","FAO TIER 1","kt","94519.4732","E","Estimated value",""
"GT","Emissions totals","410","Republic of Korea","723113","Emissions (CO2eq) (AR5)","6518","Agrifood systems","2011","2011","3050","FAO TIER 1","kt","95871.5515","E","Estimated value",""
"GT","Emissions totals","410","Republic of Korea","723113","Emissions (CO2eq) (AR5)","6518","Agrifood systems","2012","2012","3050","FAO TIER 1","kt","98150.5858","E","Estimated value",""
"GT","Emissions totals","410","Republic of Korea","723113","Emissions (CO2eq) (AR5)","6518","Agrifood systems","2013","2013","3050","FAO TIER 1","kt","95490.7339","E","Estimated value",""
"GT","Emissions totals","410","Republic of Korea","723113","Emissions (CO2eq) (AR5)","6518","Agrifood systems","2014","2014","3050","FAO TIER 1","kt","92393.2939","E","Estimated value",""
"GT","Emissions totals","410","Republic of Korea","723113","Emissions (CO2eq) (AR5)","6518","Agrifood systems","2015","2015","3050","FAO TIER 1","kt","94347.4631","E","Estimated value",""
"GT","Emissions totals","410","Republic of Korea","723113","Emissions (CO2eq) (AR5)","6518","Agrifood systems","2016","2016","3050","FAO TIER 1","kt","93273.8407","E","Estimated value",""
"GT","Emissions totals","410","Republic of Korea","723113","Emissions (CO2eq) (AR5)","6518","Agrifood systems","2017","2017","3050","FAO TIER 1","kt","94965.844","E","Estimated value",""
"GT","Emissions totals","410","Republic of Korea","723113","Emissions (CO2eq) (AR5)","6518","Agrifood systems","2018","2018","3050","FAO TIER 1","kt","94751.2779","E","Estimated value",""
"GT","Emissions totals","410","Republic of Korea","723113","Emissions (CO2eq) (AR5)","6518","Agrifood systems","2019","2019","3050","FAO TIER 1","kt","96044.4694","E","Estimated value",""
"GT","Emissions totals","410","Republic of Korea","723113","Emissions (CO2eq) (AR5)","6518","Agrifood systems","2020","2020","3050","FAO TIER 1","kt","96337.2631","E","Estimated value",""
"GT","Emissions totals","410","Republic of Korea","723113","Emissions (CO2eq) (AR5)","6518","Agrifood systems","2021","2021","3050","FAO TIER 1","kt","98077.6773","E","Estimated value",""
"GT","Emissions totals","410","Republic of Korea","723113","Emissions (CO2eq) (AR5)","6518","Agrifood systems","2022","2022","3050","FAO TIER 1","kt","98177.931","E","Estimated value",""
"GT","Emissions totals","410","Republic of Korea","723113","Emissions (CO2eq) (AR5)","6518","Agrifood systems","2023","2023","3050","FAO TIER 1","kt","97723.33","E","Estimated value",""
